"filename", "language", "Docker", "Shell Script", "Dotenv", "YAML", "Python", "pip requirements", "Markdown", "Ini", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\python\Clarity\.env", "Dotenv", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Пользователь\Desktop\python\Clarity\Dockerfile", "Docker", 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"c:\Users\Пользователь\Desktop\python\Clarity\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 655, 0, 0, 206, 861
"c:\Users\Пользователь\Desktop\python\Clarity\ai_commit.py", "Python", 0, 0, 0, 0, 57, 0, 0, 0, 20, 9, 86
"c:\Users\Пользователь\Desktop\python\Clarity\alembic.ini", "Ini", 0, 0, 0, 0, 0, 0, 0, 123, 0, 27, 150
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\env.py", "Python", 0, 0, 0, 0, 45, 0, 0, 0, 11, 13, 69
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\versions\5176abe5d497_.py", "Python", 0, 0, 0, 0, 11, 0, 0, 0, 10, 8, 29
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\auth.py", "Python", 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\invitations.py", "Python", 0, 0, 0, 0, 23, 0, 0, 0, 4, 6, 33
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\projects.py", "Python", 0, 0, 0, 0, 53, 0, 0, 0, 5, 10, 68
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\tasks.py", "Python", 0, 0, 0, 0, 48, 0, 0, 0, 5, 9, 62
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\user.py", "Python", 0, 0, 0, 0, 13, 0, 0, 0, 1, 3, 17
"c:\Users\Пользователь\Desktop\python\Clarity\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\core\config.py", "Python", 0, 0, 0, 0, 53, 0, 0, 0, 2, 12, 67
"c:\Users\Пользователь\Desktop\python\Clarity\core\database.py", "Python", 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"c:\Users\Пользователь\Desktop\python\Clarity\core\dependencies.py", "Python", 0, 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
