"filename", "language", "Python", "Dotenv", "Ini", "Docker", "pip requirements", "Markdown", "YAML", "Shell Script", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\python\Clarity\.env", "Dotenv", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Пользователь\Desktop\python\Clarity\Dockerfile", "Docker", 0, 0, 0, 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\Пользователь\Desktop\python\Clarity\README.md", "Markdown", 0, 0, 0, 0, 0, 995, 0, 0, 0, 209, 1204
"c:\Users\Пользователь\Desktop\python\Clarity\ai_commit.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 20, 9, 86
"c:\Users\Пользователь\Desktop\python\Clarity\alembic.ini", "Ini", 0, 0, 123, 0, 0, 0, 0, 0, 0, 27, 150
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\env.py", "Python", 45, 0, 0, 0, 0, 0, 0, 0, 11, 13, 69
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\versions\5176abe5d497_.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 10, 8, 29
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\auth.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\invitations.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 4, 6, 33
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\projects.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 5, 10, 68
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\tasks.py", "Python", 48, 0, 0, 0, 0, 0, 0, 0, 5, 9, 62
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\user.py", "Python", 13, 0, 0, 0, 0, 0, 0, 0, 1, 3, 17
"c:\Users\Пользователь\Desktop\python\Clarity\core\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\core\config.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 2, 12, 67
"c:\Users\Пользователь\Desktop\python\Clarity\core\database.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\Пользователь\Desktop\python\Clarity\core\dependencies.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Пользователь\Desktop\python\Clarity\core\exceptions.py", "Python", 89, 0, 0, 0, 0, 0, 0, 0, 1, 20, 110
"c:\Users\Пользователь\Desktop\python\Clarity\core\security.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Пользователь\Desktop\python\Clarity\docker-compose.yaml", "YAML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 2, 29
"c:\Users\Пользователь\Desktop\python\Clarity\entrypoint.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 5
"c:\Users\Пользователь\Desktop\python\Clarity\main.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Пользователь\Desktop\python\Clarity\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\models\project.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Пользователь\Desktop\python\Clarity\models\project_invitations.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Пользователь\Desktop\python\Clarity\models\project_members.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Пользователь\Desktop\python\Clarity\models\task.py", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Пользователь\Desktop\python\Clarity\models\user.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\base.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_invitation_repository.py", "Python", 53, 0, 0, 0, 0, 0, 0, 0, 7, 8, 68
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_repository.py", "Python", 164, 0, 0, 0, 0, 0, 0, 0, 17, 20, 201
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\task_repository.py", "Python", 90, 0, 0, 0, 0, 0, 0, 0, 9, 12, 111
