"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\Пользователь\Desktop\python\Clarity\README.md", "Markdown", 0, 64, 0, 5, 69
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\env.py", "Python", 13, 0, 2, 3, 18
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\versions\5176abe5d497_.py", "Python", -11, 0, -10, -8, -29
"c:\Users\Пользователь\Desktop\python\Clarity\alembic\versions\cf26c315fc74_init.py", "Python", 11, 0, 10, 8, 29
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\auth.py", "Python", 0, 0, 3, 3, 6
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\invitations.py", "Python", 18, 0, 1, 6, 25
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\projects.py", "Python", 10, 0, 4, 10, 24
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\tasks.py", "Python", 3, 0, 2, 7, 12
"c:\Users\Пользователь\Desktop\python\Clarity\api\v1\user.py", "Python", 10, 0, 2, 5, 17
"c:\Users\Пользователь\Desktop\python\Clarity\core\config.py", "Python", -26, 0, -2, -2, -30
"c:\Users\Пользователь\Desktop\python\Clarity\core\database.py", "Python", 0, 0, 0, 1, 1
"c:\Users\Пользователь\Desktop\python\Clarity\core\dependencies.py", "Python", 0, 0, 0, 4, 4
"c:\Users\Пользователь\Desktop\python\Clarity\core\security.py", "Python", 5, 0, 4, 6, 15
"c:\Users\Пользователь\Desktop\python\Clarity\repositories\project_repository.py", "Python", 17, 0, 2, 1, 20
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\project.py", "Python", 7, 0, 0, 1, 8
"c:\Users\Пользователь\Desktop\python\Clarity\schemas\user.py", "Python", 2, 0, 0, 0, 2
"c:\Users\Пользователь\Desktop\python\Clarity\services\auth_service.py", "Python", -4, 0, -1, 2, -3
"c:\Users\Пользователь\Desktop\python\Clarity\services\invitation_service.py", "Python", 9, 0, 5, 5, 19
"c:\Users\Пользователь\Desktop\python\Clarity\services\project_members_service.py", "Python", 0, 0, 1, 1, 2
"c:\Users\Пользователь\Desktop\python\Clarity\services\project_service.py", "Python", 35, 0, -1, 10, 44
"c:\Users\Пользователь\Desktop\python\Clarity\services\task_service.py", "Python", 1, 0, -1, 8, 8
"c:\Users\Пользователь\Desktop\python\Clarity\services\user_service.py", "Python", -1, 0, 0, 2, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\conftest.py", "Python", 49, 0, 2, 5, 56
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_invitations.py", "Python", 5, 0, -7, 0, -2
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_profile.py", "Python", 1, 0, 0, 0, 1
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_projects.py", "Python", 30, 0, 1, 0, 31
"c:\Users\Пользователь\Desktop\python\Clarity\tests\test_api\test_tasks.py", "Python", 0, 0, -4, 0, -4
"Total", "-", 184, 64, 13, 83, 344
