Date : 2026-08-25 00:24:27
Directory : c:\Users\Пользователь\Desktop\python\Clarity
Total : 72 files,  5862 codes, 371 comments, 949 blanks, all 7182 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Python           |         65 |      4,593 |        370 |        698 |      5,661 |
| Markdown         |          1 |      1,077 |          0 |        217 |      1,294 |
| Ini              |          1 |        123 |          0 |         27 |        150 |
| YAML             |          1 |         27 |          0 |          2 |         29 |
| pip requirements |          1 |         23 |          0 |          0 |         23 |
| Docker           |          1 |          8 |          0 |          5 |         13 |
| Dotenv           |          1 |          7 |          0 |          0 |          7 |
| Shell Script     |          1 |          4 |          1 |          0 |          5 |
+------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         72 |      5,862 |        371 |        949 |      7,182 |
| . (Files)                                                                                          |          9 |      1,351 |         21 |        264 |      1,636 |
| alembic                                                                                            |          2 |         69 |         23 |         24 |        116 |
| alembic (Files)                                                                                    |          1 |         58 |         13 |         16 |         87 |
| alembic\versions                                                                                   |          1 |         11 |         10 |          8 |         29 |
| api                                                                                                |          6 |        198 |         27 |         65 |        290 |
| api\v1                                                                                             |          6 |        198 |         27 |         65 |        290 |
| core                                                                                               |          6 |        183 |          5 |         52 |        240 |
| models                                                                                             |          6 |         60 |          0 |         11 |         71 |
| repositories                                                                                       |          6 |        396 |         49 |         58 |        503 |
| schemas                                                                                            |          7 |        109 |          5 |         30 |        144 |
| services                                                                                           |          7 |        410 |         26 |         65 |        501 |
| tests                                                                                              |         20 |      3,059 |        211 |        378 |      3,648 |
| tests (Files)                                                                                      |          2 |        170 |         13 |         17 |        200 |
| tests\test_api                                                                                     |          6 |      1,042 |         67 |        127 |      1,236 |
| tests\test_repositories                                                                            |          5 |        882 |        113 |        117 |      1,112 |
| tests\test_services                                                                                |          7 |        965 |         18 |        117 |      1,100 |
| utils                                                                                              |          3 |         27 |          4 |          2 |         33 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                           | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\Пользователь\Desktop\python\Clarity\.env                                                  | Dotenv           |          7 |          0 |          0 |          7 |
| c:\Users\Пользователь\Desktop\python\Clarity\Dockerfile                                            | Docker           |          8 |          0 |          5 |         13 |
| c:\Users\Пользователь\Desktop\python\Clarity\README.md                                             | Markdown         |      1,077 |          0 |        217 |      1,294 |
| c:\Users\Пользователь\Desktop\python\Clarity\ai_commit.py                                          | Python           |         57 |         20 |          9 |         86 |
| c:\Users\Пользователь\Desktop\python\Clarity\alembic.ini                                           | Ini              |        123 |          0 |         27 |        150 |
| c:\Users\Пользователь\Desktop\python\Clarity\alembic\env.py                                        | Python           |         58 |         13 |         16 |         87 |
